username,userid
officialmcafee,961445378
VitalikButerin,295218901
satoshiLite,14338147
rogerkver,176758255
pmarca,5943622
aantonop,1469101279
ErikVoorhees,61417559
CryptoYoda1338,852256178021294080
bgarlinghouse,28582680
lopp,23618940
barrysilbert,396045469
ToneVays,2577886615
VinnyLingham,1854401
Apompliano,339061487
CharlieShrem,22682896
CryptoCobain,2259434528
winklevoss,250980843
MaheshSashital,3390917998
jimmysong,21263333
SimonCocking,2740147945
dtapscott,14128528
JoelKatz,35749949
TimDraper,20884310
laurashin,26377478
TheCryptoDog,887748030304329728
balajis,2178012643
CremeDeLaCrypto,4826176219
iamjosephyoung,2272640503
Crypto_Bitlord,1032188509
giacomozucco,338410478
woonomic,13418472
parabolictrav,2449847450
el33th4xor,399412477
Melt_Dem,2363290915
haydentiff,2680350607
CryptoDonAlt,878219545785372673
Fisher85M,846014785246367745
jonmatonis,101580574
stephantual,18802551
Beastlyorion,528584509
ummjackson,25456180
brucefenton,19132398
dahongfei,1677585618
kyletorpey,233318165
TuurDemeester,40742821
TheBlueMatt,256755545
SlushHQ,30626658
pierre_rochard,820252180796100608
francispouliot_,1643500784
ArminVanBitcoin,848700682869911553
LukeDashjr,728747154
justmoon,14444941
nathanielpopper,52160722
bytemaster7,2315849676
prestonjbyrne,151936663
saifedean,18469669
TheCryptoMonk,576519811
muneeb,14110443
AaronvanW,1944727015
diiorioanthony,1562625614
_jonasschnelli_,3438893417
alansilbert,53089954
BitcoinByte,110759328
alexsunnarborg,3087276349
Disruptepreneur,2178242827
chrislarsensf,23137860
bitstein,820282353436200960
valkenburgh,54622027
JedMcCaleb,3194838079
avsa,10157
nbougalis,16670774
adamludwin,6568422
oleganza,16912671
_jillruth,169312819
bendavenport,14744734
JackMallers,2360241314
Xentagz,14717442
CryptoTrooper_,975425759308378114
ofnumbers,519800095
alexbosworth,795846
SDLerner,182006140
MatthewRoszak,10739992
CaitlinLong_,717926102614716417
TokenHash,797439073
Dan_Jeffries1,633549366
AlyseKilleen,380664281
mikebelshe,141145166
DanielKrawisz,36903049
conniegallippi,38129556
Snyke,7646552
minhokim,14079609
jamiecrypto,2897392085
LarryBitcoin,2715331651
SHodyEsq,1638270607
